request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Pay IDR 15656000 today. This leaves at least IDR 24768300 available over the next 90 days.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Pay ZAR 6670 today. This leaves at least ZAR 20500 available over the next 90 days.
request_28,456.39,affordable_later,wait,2024-06-19:1302.4,2024-06-19,none,Pay EUR 1302.4 in full on 19 June 2024. Paying earlier would take the balance below the EUR 1100 minimum.
request_29,40865.13,not_affordable,not_recommended,none,,none,The full ZAR 51524 request cannot be completed safely within the next 90 days without breaking the ZAR 28300 minimum balance you want to keep.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,"Use 3 installments of USD 268.74, starting 6 April 2026. This leaves at least USD 900 available."
request_31,5037675.54,not_affordable,not_recommended,none,2024-09-15,none,The full IDR 18164000 request cannot be completed safely within the next 90 days without breaking the IDR 16588900 minimum balance you want to keep.
request_32,21470.06,affordable_later,wait,2025-02-15:40018,2025-02-15,none,Pay ZAR 40018 in full on 15 February 2025. Paying earlier would take the balance below the ZAR 35700 minimum.
request_33,51782.22,affordable_later,wait,2026-01-14:118000,2026-01-14,none,Pay INR 118000 in full on 14 January 2026. Paying earlier would take the balance below the INR 102100 minimum.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Pay INR 129400 today. This leaves at least INR 138500 available over the next 90 days.
request_35,51872.44,not_affordable,not_recommended,none,,none,The full INR 212000 request cannot be completed safely within the next 90 days without breaking the INR 106400 minimum balance you want to keep.
request_36,980.85,not_affordable,not_recommended,none,,none,The full USD 3954 request cannot be completed safely within the next 90 days without breaking the USD 2400 minimum balance you want to keep.
request_37,3022319.21,not_affordable,not_recommended,none,,none,The full IDR 14649000 request cannot be completed safely within the next 90 days without breaking the IDR 17056200 minimum balance you want to keep.
request_38,298.4,not_affordable,not_recommended,none,,none,The full EUR 971.3 request cannot be completed safely within the next 90 days without breaking the EUR 400 minimum balance you want to keep.
request_39,170871.41,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Pay INR 208600 in full on 15 April 2026. Paying earlier would take the balance below the INR 213400 minimum.
request_40,455.33,not_affordable,not_recommended,none,2024-06-15,none,The full EUR 1290.3 request cannot be completed safely within the next 90 days without breaking the EUR 1500 minimum balance you want to keep.
request_41,12674231.67,not_affordable,not_recommended,none,2025-11-15,none,The full IDR 38760000 request cannot be completed safely within the next 90 days without breaking the IDR 25366600 minimum balance you want to keep.
request_42,0,not_affordable,not_recommended,none,,none,The full INR 52100 request cannot be completed safely within the next 90 days without breaking the INR 113100 minimum balance you want to keep.
request_43,9868266.98,not_affordable,not_recommended,none,,none,The full IDR 43339000 request cannot be completed safely within the next 90 days without breaking the IDR 21398000 minimum balance you want to keep.
request_44,45857.14,not_affordable,not_recommended,none,2025-02-15,none,The full INR 95800 request cannot be completed safely within the next 90 days without breaking the INR 82900 minimum balance you want to keep.
request_45,5903188.14,not_affordable,not_recommended,none,,none,The full IDR 21983000 request cannot be completed safely within the next 90 days without breaking the IDR 11149800 minimum balance you want to keep.
request_46,49450,affordable_with_plan,installments,2024-12-03:25714|2024-12-31:25714,2024-12-03,none,"Use 2 installments of INR 25714, starting 3 December 2024. This leaves at least INR 84000 available."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,Pay IDR 38114000 today. This leaves at least IDR 30049000 available over the next 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Pay INR 45700 today. This leaves at least INR 71300 available over the next 90 days.
request_49,15230023.53,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-03-17,none,"Use 3 installments of IDR 11902106.67, starting 18 March 2024. This leaves at least IDR 20275700 available."
request_50,0,not_affordable,not_recommended,none,,none,The full INR 43900 request cannot be completed safely within the next 90 days without breaking the INR 99700 minimum balance you want to keep.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Pay IDR 2191000 today. This leaves at least IDR 7811000 available over the next 90 days.
request_52,26530,not_affordable,not_recommended,none,2024-06-10,none,The full INR 28870 request cannot be completed safely within the next 90 days without breaking the INR 41500 minimum balance you want to keep.
request_53,714.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-14,none,"Use 3 installments of USD 589.06, starting 21 November 2025. This leaves at least USD 2100 available."
request_54,7822.2,not_affordable,not_recommended,none,,none,The full ZAR 121528 request cannot be completed safely within the next 90 days without breaking the ZAR 37000 minimum balance you want to keep.
request_55,142066.87,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-14,none,"Use 3 installments of INR 75781.33, starting 11 June 2026. This leaves at least INR 124300 available."
request_56,881.56,affordable_with_plan,installments,2025-02-03:458.42|2025-03-03:458.42,2025-02-03,none,"Use 2 installments of USD 458.42, starting 3 February 2025. This leaves at least USD 2100 available."
request_57,14724.02,not_affordable,not_recommended,none,,none,The full ZAR 61446 request cannot be completed safely within the next 90 days without breaking the ZAR 42700 minimum balance you want to keep.
